Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
03 Alicante/Alacant	Número de plazas estimadas	2014M03	58.012
03 Alicante/Alacant	Número de plazas estimadas	2014M02	54.097
03 Alicante/Alacant	Número de plazas estimadas	2014M01	50.934
03 Alicante/Alacant	Número de plazas estimadas	2013M12	54.045
03 Alicante/Alacant	Número de plazas estimadas	2013M11	55.845
03 Alicante/Alacant	Número de plazas estimadas	2013M10	57.227
03 Alicante/Alacant	Número de plazas estimadas	2013M09	59.912
03 Alicante/Alacant	Número de plazas estimadas	2013M08	65.874
03 Alicante/Alacant	Número de plazas estimadas	2013M07	63.742
03 Alicante/Alacant	Número de plazas estimadas	2013M06	59.676
03 Alicante/Alacant	Número de plazas estimadas	2013M05	56.076
03 Alicante/Alacant	Número de plazas estimadas	2013M04	55.510
03 Alicante/Alacant	Número de plazas estimadas	2013M03	51.608
03 Alicante/Alacant	Número de plazas estimadas	2013M02	50.553
03 Alicante/Alacant	Número de plazas estimadas	2013M01	48.987
03 Alicante/Alacant	Número de plazas estimadas	2012M12	52.461
03 Alicante/Alacant	Número de plazas estimadas	2012M11	53.609
03 Alicante/Alacant	Número de plazas estimadas	2012M10	54.324
03 Alicante/Alacant	Número de plazas estimadas	2012M09	57.984
03 Alicante/Alacant	Número de plazas estimadas	2012M08	61.976
03 Alicante/Alacant	Número de plazas estimadas	2012M07	61.064
03 Alicante/Alacant	Número de plazas estimadas	2012M06	58.151
03 Alicante/Alacant	Número de plazas estimadas	2012M05	53.989
03 Alicante/Alacant	Número de plazas estimadas	2012M04	53.469
03 Alicante/Alacant	Número de plazas estimadas	2012M03	49.770
03 Alicante/Alacant	Número de plazas estimadas	2012M02	48.885
03 Alicante/Alacant	Número de plazas estimadas	2012M01	48.998
03 Alicante/Alacant	Número de plazas estimadas	2011M12	49.823
03 Alicante/Alacant	Número de plazas estimadas	2011M11	50.320
03 Alicante/Alacant	Número de plazas estimadas	2011M10	52.355
03 Alicante/Alacant	Número de plazas estimadas	2011M09	60.938
03 Alicante/Alacant	Número de plazas estimadas	2011M08	65.635
03 Alicante/Alacant	Número de plazas estimadas	2011M07	67.410
03 Alicante/Alacant	Número de plazas estimadas	2011M06	65.499
