Total Nacional;Comunidades y Ciudades Autónomas;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;17 Rioja, La;Vivienda colectiva;Variación anual;2011;..
Total Nacional;18 Ceuta;Total;Índice;2022;107,679
Total Nacional;18 Ceuta;Total;Índice;2021;106,884
Total Nacional;18 Ceuta;Total;Índice;2020;105,383
Total Nacional;18 Ceuta;Total;Índice;2019;105,424
Total Nacional;18 Ceuta;Total;Índice;2018;103,849
Total Nacional;18 Ceuta;Total;Índice;2017;102,59
Total Nacional;18 Ceuta;Total;Índice;2016;102,235
Total Nacional;18 Ceuta;Total;Índice;2015;100
Total Nacional;18 Ceuta;Total;Índice;2014;99,539
Total Nacional;18 Ceuta;Total;Índice;2013;99,741
Total Nacional;18 Ceuta;Total;Índice;2012;99,913
Total Nacional;18 Ceuta;Total;Índice;2011;99,348
Total Nacional;18 Ceuta;Total;Variación anual;2022;0,7
Total Nacional;18 Ceuta;Total;Variación anual;2021;1,4
Total Nacional;18 Ceuta;Total;Variación anual;2020;0
Total Nacional;18 Ceuta;Total;Variación anual;2019;1,5
Total Nacional;18 Ceuta;Total;Variación anual;2018;1,2
Total Nacional;18 Ceuta;Total;Variación anual;2017;0,3
Total Nacional;18 Ceuta;Total;Variación anual;2016;2,2
Total Nacional;18 Ceuta;Total;Variación anual;2015;0,5
Total Nacional;18 Ceuta;Total;Variación anual;2014;-0,2
Total Nacional;18 Ceuta;Total;Variación anual;2013;-0,2
Total Nacional;18 Ceuta;Total;Variación anual;2012;0,6
Total Nacional;18 Ceuta;Total;Variación anual;2011;..
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2022;108,409
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2021;106,012
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2020;106,81
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2019;104,387
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2018;102,847
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2017;103,975
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2016;102,412
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2015;100
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2014;101,277
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2013;100,079
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2012;102,267
Total Nacional;18 Ceuta;Vivienda unifamiliar;Índice;2011;101,473
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2022;2,3
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2021;-0,7
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2020;2,3
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2019;1,5
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2018;-1,1
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2017;1,5
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2016;2,4
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2015;-1,3
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2014;1,2
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2013;-2,1
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2012;0,8
Total Nacional;18 Ceuta;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2022;107,575
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2021;106,989
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2020;105,174
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2019;105,579
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2018;103,999
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2017;102,415
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2016;102,216
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2015;100
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2014;99,329
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2013;99,683
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2012;99,632
Total Nacional;18 Ceuta;Vivienda colectiva;Índice;2011;99,091
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2022;0,5
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2021;1,7
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2020;-0,4
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2019;1,5
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2018;1,5
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2017;0,2
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2016;2,2
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2015;0,7
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2014;-0,4
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2013;0,1
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2012;0,5
Total Nacional;18 Ceuta;Vivienda colectiva;Variación anual;2011;..
Total Nacional;19 Melilla;Total;Índice;2022;107,011
Total Nacional;19 Melilla;Total;Índice;2021;105,804
Total Nacional;19 Melilla;Total;Índice;2020;105,09
Total Nacional;19 Melilla;Total;Índice;2019;104,31
Total Nacional;19 Melilla;Total;Índice;2018;103,199
Total Nacional;19 Melilla;Total;Índice;2017;101,872
Total Nacional;19 Melilla;Total;Índice;2016;101,022
Total Nacional;19 Melilla;Total;Índice;2015;100
Total Nacional;19 Melilla;Total;Índice;2014;99,494
Total Nacional;19 Melilla;Total;Índice;2013;99,498
Total Nacional;19 Melilla;Total;Índice;2012;99,74
Total Nacional;19 Melilla;Total;Índice;2011;95,953
Total Nacional;19 Melilla;Total;Variación anual;2022;1,1
Total Nacional;19 Melilla;Total;Variación anual;2021;0,7
Total Nacional;19 Melilla;Total;Variación anual;2020;0,7
Total Nacional;19 Melilla;Total;Variación anual;2019;1,1
Total Nacional;19 Melilla;Total;Variación anual;2018;1,3
Total Nacional;19 Melilla;Total;Variación anual;2017;0,8
Total Nacional;19 Melilla;Total;Variación anual;2016;1
Total Nacional;19 Melilla;Total;Variación anual;2015;0,5
Total Nacional;19 Melilla;Total;Variación anual;2014;0
Total Nacional;19 Melilla;Total;Variación anual;2013;-0,2
Total Nacional;19 Melilla;Total;Variación anual;2012;3,9
Total Nacional;19 Melilla;Total;Variación anual;2011;..
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2022;108,698
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2021;107,317
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2020;106,119
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2019;104,587
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2018;105,666
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2017;103,472
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2016;103,977
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2015;100
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2014;101,371
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2013;102,064
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2012;102,002
Total Nacional;19 Melilla;Vivienda unifamiliar;Índice;2011;95,837
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2022;1,3
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2021;1,1
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2020;1,5
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2019;-1
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2018;2,1
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2017;-0,5
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2016;4
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2015;-1,4
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2014;-0,7
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2013;0,1
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2012;6,4
Total Nacional;19 Melilla;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2022;106,655
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2021;105,477
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2020;104,85
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2019;104,196
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2018;102,704
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2017;101,533
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2016;100,42
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2015;100
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2014;99,096
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2013;98,964
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2012;99,271
Total Nacional;19 Melilla;Vivienda colectiva;Índice;2011;96,111
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2022;1,1
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2021;0,6
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2020;0,6
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2019;1,5
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2018;1,2
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2017;1,1
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2016;0,4
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2015;0,9
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2014;0,1
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2013;-0,3
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2012;3,3
Total Nacional;19 Melilla;Vivienda colectiva;Variación anual;2011;..
