Total Nacional;Provincias;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2014;99,389
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2013;100,409
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2012;101,715
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2011;102,173
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2022;1,4
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2021;0,9
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2020;1,1
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2019;1,2
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2018;0,6
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2017;1,5
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2016;0,7
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2015;0,6
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2014;-1
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2013;-1,3
Total Nacional;06 Badajoz;Vivienda unifamiliar;Variación anual;2012;-0,4
