Provincias;Sexo;Periodo;Total
13 Ciudad Real;Total;2017;502.578
13 Ciudad Real;Total;2016;506.888
13 Ciudad Real;Total;2015;513.713
13 Ciudad Real;Total;2014;519.613
13 Ciudad Real;Total;2013;524.962
13 Ciudad Real;Total;2012;530.250
13 Ciudad Real;Total;2011;530.175
13 Ciudad Real;Total;2010;529.453
13 Ciudad Real;Total;2009;527.273
13 Ciudad Real;Total;2008;522.343
13 Ciudad Real;Total;2007;510.122
13 Ciudad Real;Total;2006;506.864
13 Ciudad Real;Total;2005;500.060
13 Ciudad Real;Total;2004;492.914
13 Ciudad Real;Total;2003;487.670
13 Ciudad Real;Total;2002;484.338
13 Ciudad Real;Total;2001;478.581
13 Ciudad Real;Total;2000;476.633
13 Ciudad Real;Total;1999;479.087
13 Ciudad Real;Total;1998;479.474
13 Ciudad Real;Total;1997;""
13 Ciudad Real;Total;1996;478.672
14 Córdoba;Total;2021;776.789
14 Córdoba;Total;2020;781.451
14 Córdoba;Total;2019;782.979
14 Córdoba;Total;2018;785.240
14 Córdoba;Total;2017;788.219
14 Córdoba;Total;2016;791.610
14 Córdoba;Total;2015;795.611
14 Córdoba;Total;2014;799.402
14 Córdoba;Total;2013;802.422
14 Córdoba;Total;2012;804.498
14 Córdoba;Total;2011;805.857
14 Córdoba;Total;2010;805.108
14 Córdoba;Total;2009;803.998
14 Córdoba;Total;2008;798.822
14 Córdoba;Total;2007;792.182
14 Córdoba;Total;2006;788.287
14 Córdoba;Total;2005;784.376
14 Córdoba;Total;2004;779.870
14 Córdoba;Total;2003;775.944
14 Córdoba;Total;2002;771.131
14 Córdoba;Total;2001;769.625
14 Córdoba;Total;2000;769.237
14 Córdoba;Total;1999;768.676
14 Córdoba;Total;1998;767.175
14 Córdoba;Total;1997;""
14 Córdoba;Total;1996;761.401
15 Coruña, A;Total;2021;1.120.134
15 Coruña, A;Total;2020;1.121.815
15 Coruña, A;Total;2019;1.119.596
15 Coruña, A;Total;2018;1.119.351
15 Coruña, A;Total;2017;1.120.294
15 Coruña, A;Total;2016;1.122.799
15 Coruña, A;Total;2015;1.127.196
15 Coruña, A;Total;2014;1.132.735
15 Coruña, A;Total;2013;1.138.161
15 Coruña, A;Total;2012;1.143.911
15 Coruña, A;Total;2011;1.147.124
15 Coruña, A;Total;2010;1.146.458
15 Coruña, A;Total;2009;1.145.488
15 Coruña, A;Total;2008;1.139.121
15 Coruña, A;Total;2007;1.132.792
15 Coruña, A;Total;2006;1.129.141
15 Coruña, A;Total;2005;1.126.707
15 Coruña, A;Total;2004;1.121.344
15 Coruña, A;Total;2003;1.120.814
15 Coruña, A;Total;2002;1.111.886
15 Coruña, A;Total;2001;1.108.002
15 Coruña, A;Total;2000;1.108.419
