Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;33 Asturias;Total;1 de julio de 2014;1.053.538
Todas las edades;33 Asturias;Total;1 de abril de 2014;""
Todas las edades;33 Asturias;Total;1 de enero de 2014;1.058.560
Todas las edades;33 Asturias;Total;1 de octubre de 2013;""
Todas las edades;33 Asturias;Total;1 de julio de 2013;1.062.598
Todas las edades;33 Asturias;Total;1 de abril de 2013;""
Todas las edades;33 Asturias;Total;1 de enero de 2013;1.067.425
Todas las edades;33 Asturias;Total;1 de octubre de 2012;""
Todas las edades;33 Asturias;Total;1 de julio de 2012;1.070.365
Todas las edades;33 Asturias;Total;1 de abril de 2012;""
Todas las edades;33 Asturias;Total;1 de enero de 2012;1.074.304
Todas las edades;33 Asturias;Total;1 de octubre de 2011;""
Todas las edades;33 Asturias;Total;1 de julio de 2011;1.075.114
Todas las edades;33 Asturias;Total;1 de abril de 2011;""
Todas las edades;33 Asturias;Total;1 de enero de 2011;1.075.877
Todas las edades;33 Asturias;Total;1 de octubre de 2010;""
Todas las edades;33 Asturias;Total;1 de julio de 2010;1.076.165
Todas las edades;33 Asturias;Total;1 de abril de 2010;""
Todas las edades;33 Asturias;Total;1 de enero de 2010;1.077.103
Todas las edades;33 Asturias;Total;1 de octubre de 2009;""
Todas las edades;33 Asturias;Total;1 de julio de 2009;1.076.430
Todas las edades;33 Asturias;Total;1 de abril de 2009;""
Todas las edades;33 Asturias;Total;1 de enero de 2009;1.076.280
Todas las edades;33 Asturias;Total;1 de octubre de 2008;""
Todas las edades;33 Asturias;Total;1 de julio de 2008;1.074.019
Todas las edades;33 Asturias;Total;1 de abril de 2008;""
Todas las edades;33 Asturias;Total;1 de enero de 2008;1.071.081
Todas las edades;33 Asturias;Total;1 de octubre de 2007;""
Todas las edades;33 Asturias;Total;1 de julio de 2007;1.068.046
Todas las edades;33 Asturias;Total;1 de abril de 2007;""
Todas las edades;33 Asturias;Total;1 de enero de 2007;1.065.291
Todas las edades;33 Asturias;Total;1 de octubre de 2006;""
Todas las edades;33 Asturias;Total;1 de julio de 2006;1.063.801
